"","MEantiquewhite1","MEantiquewhite2","MEantiquewhite4","MEbisque4","MEblack","MEblue","MEblue2","MEblue3","MEblue4","MEblueviolet","MEbrown","MEbrown1","MEbrown2","MEbrown4","MEchocolate4","MEcoral","MEcoral1","MEcoral2","MEcoral3","MEcoral4","MEcyan","MEdarkgreen","MEdarkgrey","MEdarkmagenta","MEdarkolivegreen","MEdarkolivegreen1","MEdarkolivegreen2","MEdarkolivegreen4","MEdarkorange","MEdarkorange2","MEdarkred","MEdarkseagreen2","MEdarkseagreen3","MEdarkseagreen4","MEdarkslateblue","MEdarkturquoise","MEdarkviolet","MEdeeppink","MEdeeppink1","MEfirebrick2","MEfirebrick3","MEfirebrick4","MEfloralwhite","MEgreen","MEgreen4","MEgreenyellow","MEgrey","MEgrey60","MEhoneydew","MEhoneydew1","MEindianred2","MEindianred3","MEindianred4","MEivory","MElavenderblush1","MElavenderblush2","MElavenderblush3","MElightblue3","MElightblue4","MElightcoral","MElightcyan","MElightcyan1","MElightgreen","MElightpink2","MElightpink3","MElightpink4","MElightskyblue4","MElightslateblue","MElightsteelblue","MElightsteelblue1","MElightyellow","MEmagenta","MEmagenta3","MEmagenta4","MEmaroon","MEmediumorchid","MEmediumpurple","MEmediumpurple1","MEmediumpurple2","MEmediumpurple3","MEmediumpurple4","MEmidnightblue","MEmistyrose","MEnavajowhite","MEnavajowhite1","MEnavajowhite2","MEorange","MEorangered","MEorangered1","MEorangered3","MEorangered4","MEpaleturquoise","MEpalevioletred1","MEpalevioletred2","MEpalevioletred3","MEpink","MEpink3","MEpink4","MEplum","MEplum1","MEplum2","MEplum3","MEplum4","MEpowderblue","MEpurple","MEred","MEroyalblue","MEsaddlebrown","MEsalmon","MEsalmon1","MEsalmon2","MEsalmon4","MEsienna2","MEsienna3","MEsienna4","MEskyblue","MEskyblue1","MEskyblue2","MEskyblue3","MEskyblue4","MEslateblue","MEsteelblue","MEtan","MEtan4","MEthistle","MEthistle1","MEthistle2","MEthistle3","MEthistle4","MEturquoise","MEviolet","MEwhite","MEyellow","MEyellow2","MEyellow3","MEyellow4","MEyellowgreen"
"X.HIP..CN..171..1.0..0.024736.",-0.0191854716046782,0.0787253213104674,0.152250893599196,-0.173052932918951,0.308153383752871,0.35596250896346,0.173090011656091,0.350783848136896,-0.0109387595679954,0.152198154273555,0.161340950597577,0.370030505157862,-0.0106586986801848,0.053661758662869,-0.0230494958632449,0.0430334813690662,-0.0249659126844414,0.0699216472921544,-0.156718524173558,0.23111898259108,-0.545620388248939,-0.435725810734205,-0.1414107160021,-0.255297913361245,0.0423990819221673,-0.0585871502294467,-0.102315008392156,-0.0159767857199793,0.102943700833925,-0.346834019169654,-0.0893369447740466,-0.0177807882621533,-0.17340931508947,0.194942912497552,-0.0228742492367875,0.159241650978432,-0.244506950270339,-0.0651425538625598,-0.064897484260907,-0.00869496118552343,-0.095796893430261,0.157108434289287,0.246720829524698,0.38430424885184,-0.0653702100313033,0.205607192772267,-0.176075172681223,0.0105055520810215,0.116052219588226,0.0683193637119131,0.295918163610871,-0.0277418451031959,0.14074115762402,0.128329887844873,0.0877468379341627,-0.253946944789947,-0.304203052982004,-0.00084111960439298,0.0965585661162252,0.0738864843278946,0.161877259911959,0.0693321919204878,-0.571704700543297,0.0143511928139408,-0.061213729449883,0.0491828987283595,-0.133295315717102,0.0723317378345418,0.291434770155977,-0.142093858511401,0.366068368289505,0.380135329078138,0.231226512806116,-0.037849500271123,0.212641637025822,-0.256996388197999,0.140012664356636,-0.172760483840198,0.335409172586831,-0.328156474730659,-0.145398195496865,0.00234958571173802,-0.144625986589261,-0.00328096209307067,-0.112442331194675,0.0617217483913505,0.271007911734571,-0.0581045202765294,0.134068244840879,-0.188922028959503,0.266333902241675,0.0372247105843737,0.0141806091004813,0.0341618717988178,-0.335023493631779,0.309666972558746,-0.106584315790065,-0.0182446070479582,-0.0490333494509299,0.253432286327107,0.0413811523889127,-0.0124473273555009,-0.073908571285087,0.0843977444387136,-0.3512575701488,0.382372807637129,0.326640812668516,-0.562376675037481,0.179536378483389,0.201038021851071,0.138972293204195,0.139113439921829,0.187583643106482,-0.171741715898481,-0.057307375269859,-0.147235509786948,0.0568213328001836,0.081419212034555,0.0914492465668285,-0.0225010438878632,-0.240349557629415,-0.378185766290107,0.197900265324705,0.30258546069693,0.0717409588553876,-0.188268027302105,-0.31949245165151,0.0117663400229298,0.234292307282597,0.224577298877343,-0.412027301869325,-0.129341183879567,0.190747754245322,-0.0607871362182834,-0.0706246338324733,-0.0610658478864231,0.441448358103312
"X.HIP..CN..175..1.0..0.177900.",-0.164618463847137,0.141513010544286,-0.285018592203401,-0.225472048950602,0.374149521473732,0.213467002948286,-0.158991142231188,0.238224305386303,0.244648997870997,0.319937346947701,0.131065508951947,0.238063898289344,0.142675934011243,-0.255819700385067,0.0640749102160308,-0.244676252123803,-0.206863318019307,-0.254156639093123,0.135637998703911,0.210283364983091,-0.0818322074444325,-0.199569789570303,-0.0774837662528208,-0.249886962643282,-0.130803484926356,0.00174481136142091,-0.152129487048549,-0.143624426389217,0.16869537351048,0.0653208563236649,-0.173312512843604,-0.109845775046954,0.145378738847378,-0.195359476614063,-0.277793971019483,0.111801078749752,0.110131596986565,0.173402853330694,-0.0420483818298335,-0.0305130493699367,-0.161654643709692,0.147225522779046,0.0523538323628316,0.293562027525039,0.155541226619117,0.00814251558075874,0.0456453940038208,-0.21002141255378,0.311107978986368,-0.286849635140028,0.0668541185772377,-0.0719203263170877,-0.0489007374633587,0.271912688140422,0.397893979916249,-0.0662527918036735,-0.00717495692653503,0.254144321029924,-0.179717037295695,0.0222360466394977,0.181296890456454,0.245273540320375,-0.193688768490096,-0.0206956664633829,0.000485458206692657,0.169633743510498,-0.0954282220568502,-0.197434158011673,0.433730213687103,-0.40249766379957,0.351089881143039,0.134949933290529,-0.0720740655918582,0.0437732262778009,0.328013688740996,0.0943613260296542,0.149805671375404,-0.067513631078734,0.349302305740084,-0.130738156618407,0.170711119110273,-0.237759499844182,-0.154114706162022,0.302655051656049,-0.206905409140418,-0.259195334877415,-0.0341371870403805,-0.336423207012481,0.0889101132015733,0.0187550662202687,-0.13035648802845,-0.184513327023468,-0.0138481056189751,-0.0951580225648807,0.00229710293991525,0.106707871344368,0.0440427348463669,-0.0642582974115373,-0.243955937175764,-0.0676584489804386,-0.259354800258087,0.142227059936895,0.0344454560463254,-0.00717980941554675,-0.0808560977913974,0.369472294269374,0.362139498872703,-0.198202862683051,0.10851189205065,-0.18414022186581,-0.109338484768787,-0.158663832905122,-0.16153793886797,0.0686987657466928,0.224194638286655,-0.00942453905721941,0.126794731638363,-0.0787351158205,0.207562598960542,-0.262326048740473,-0.329005231589344,-0.116290699275738,-0.0221477059557723,0.337110161320783,-0.169908276570728,-0.284200196208549,-0.167269710196682,-0.0460638739542216,-0.136677334130769,0.15316895525854,-0.06056642694697,-0.227753771888659,0.0550610194424747,0.0748953314239109,0.120691396519725,-0.302189712788411,0.440003784816427
"X.test_HIP..SN..182..1.0..0.000818.",-0.279114177433681,0.0664687612591941,-0.0847313631832604,-0.0885979320819767,-0.174754482075511,-0.133633679181488,-0.248212823336472,0.265657790372994,-0.0676678007488715,-0.194986853073712,-0.288837766372572,0.0750684760289622,-0.195977845275849,-0.169068500262798,-0.284972091981453,-0.177490146121649,0.249688150102627,-0.0570637713115245,0.121537502674585,0.0613243929303105,0.128121393459469,0.0827975866114369,0.250277472141174,-0.100241177483751,-0.111573283640995,-0.272921463022696,-0.253318363127647,-0.30985839186403,-0.234311307389759,0.0426995689017386,0.113189742791145,-0.164354666476714,-0.0258024356533575,-0.0281093485251131,0.129687568565868,-0.255615185382102,0.0653906846002562,0.171751884752626,0.683006466240126,-0.310568331934749,-0.160443786369561,0.50141016360231,0.0754109914729365,-0.125759796596942,-0.106914326262192,-0.231985143437544,0.136402898350647,-0.0679931913770003,-0.00779099911345853,-0.0470225645309907,-0.0126155791112529,-0.327809405344272,-0.0496036545351471,0.0975191966801722,-0.0108850480221026,-0.161114988190454,0.242808417124342,-0.160897379894671,-0.131606319991152,0.191285510233688,-0.268414476511337,-0.171711816960194,0.162196306885761,-0.332484204189673,0.326622292386094,0.146727834627106,-0.217138738554311,-0.0438908175219991,0.0717642673849983,-0.106841879736699,-0.0924458587754702,-0.16168507403078,-0.250967629678389,0.813233209094358,-0.0550082716931304,-0.0274778486794258,0.109712002416188,-0.208391958829919,-0.106272328456013,-0.0521571857687792,-0.152368094066719,-0.0751285793151775,-0.271206543942502,-0.0615090475609232,-0.252444853659334,0.0706320921089857,-0.112985542300716,-0.109721309564336,0.831746749547875,-0.183523131956114,0.00305265678451261,-0.221894177390127,-0.31666806495504,0.00568197938068397,0.113799002584047,0.013040687123237,0.622288810513491,-0.300433386707954,0.397392260718619,-0.0622860702166186,0.158389246164381,0.141200685002799,0.885845481229123,-0.280155170876155,0.0160810931862108,-0.198425676265037,-0.149571650285775,0.0442798918984954,-0.255995310554437,0.00196956471148163,-0.222321655572923,-0.00421180936040094,-0.0153926792750637,0.199889040410373,-0.134612388780332,0.226184232144611,-0.262961788406027,-0.27584421625875,-0.20108045702299,-0.16619455286071,-0.16520037653959,0.362732345623134,-0.27227926042656,-0.0358553863346295,-0.13647071485256,-0.0455064699684926,0.329530229905242,0.853559645405215,0.0643746732125811,-0.297426985743929,0.139127334062041,0.182373934983029,-0.268212308325189,-0.257225197763142,0.225183097271245,-0.0644116746812483,-0.121402417815012
"X.HIP..CN..183..1.0..0.030263.",-0.261509065833681,0.209361242906035,-0.170087443793314,-0.308476247275686,0.0621799279007489,-0.261785307515535,-0.318508803967734,0.106922853801116,0.174446740866686,0.103191687954316,-0.0748705489130423,0.117510130507481,0.062314622046479,-0.297877895034236,-0.00968715648361609,-0.278096541482155,0.0674565272296932,-0.117091840270271,0.366935628409558,0.164912336809372,0.303870820448654,-0.0529321404709423,0.299779947365775,-0.241447136649639,0.0962837186901987,-0.0795439280136526,-0.259633981666812,-0.244237653684399,-0.00970281899868459,0.219489370560536,0.19946496571199,-0.324329906004407,0.336672600251419,-0.266328144761655,-0.0493811134968279,-0.167628569141141,0.377230564443906,0.339026032588128,0.239757301003068,-0.0578347599381883,-0.287402870235327,-0.195369119034968,-0.300474872265247,-0.203344280720403,0.206046016571994,-0.273677832326053,-0.00742194475460295,0.115490545651307,0.241489269555469,-0.0471975030216065,0.0235284395133383,-0.191478392789972,0.133512989172479,0.240697293767146,0.068398367278891,0.0258648053080748,0.382243077197465,0.158191334097731,-0.285453137046963,0.160526163986983,-0.0432238343975255,0.0866442443716983,0.195943646723471,-0.232828942016842,0.262259806995621,0.259468846118261,-0.132788097730488,-0.218986245156751,0.136834007501758,-0.227609419572865,-0.169853187251693,-0.294825474272645,-0.360371421574139,-0.0710603965899359,0.217535779786046,0.303965383625134,0.235551886977699,-0.102918641841034,0.0913614546873227,-0.0992550435248309,0.217913836060043,0.113442767024054,-0.162035579388462,0.140955105202204,-0.288177067008235,-0.176744102193581,-0.28858473723439,-0.289176269570126,-0.102430175226982,0.05896001627383,-0.303183857427386,-0.266326146473827,-0.156517293146017,0.118592727075691,0.389777360234706,-0.29745086981526,-0.0264878365862942,-0.174366748652397,0.0276478307368923,-0.322829987757557,-0.0833710488484279,0.238799092782779,0.00595620551142263,-0.0744452339118466,-0.0281411472806264,-0.130990132630424,-0.0859060050272162,0.271114159075937,-0.199392150633035,-0.2378402477228,-0.306391273709344,-0.350763122723376,-0.07149008682179,0.325500098532041,0.158282150093703,0.328024139060888,-0.00461329156699594,-0.33045240464851,0.0557363742196348,-0.294595411482208,-0.231094863505563,0.348453096512004,-0.311140777180241,0.134052722550591,-0.330577568135813,-0.247852610115842,0.298246440636602,-0.130179829083159,-0.195425859694449,-0.147423723131779,0.373866398871046,0.155224876709946,-0.243894415256772,0.0540561787820132,0.287201926544529,-0.0350391624434117,-0.0130320636062344
"X.HIP..SN..185..1.0..0.000285.",0.00280856729092634,0.129085344296499,-0.182847685187483,-0.0475271930776782,0.10865570877263,-0.119968907623236,-0.122350132677275,-0.0390966661023643,0.266179129274557,0.233622912040366,0.0961726326004137,-0.0116153792856916,0.187397805698407,-0.137517534338988,0.182845478132676,-0.122305472268903,-0.138776775819757,-0.146573732250844,0.211254492624594,-0.0206897132885369,0.210790700517947,0.098166206385872,0.0476726977736212,0.0479634322386329,-0.0542814735067845,0.148327825745705,0.0293343052245682,-0.0770034091659988,0.117864907667501,0.276539798836053,-0.0712635776698654,-0.0823093103137552,0.279856908067045,-0.23441037238022,-0.175206058981393,0.00783059995535637,0.254967807691998,0.183316622209527,-0.0899390911998565,0.118651255062431,0.0791645710409554,-0.123202678370624,-0.129699869316401,-0.121806688892622,0.241392575022812,-0.0683324293798183,0.0631177813229697,-0.0801212359638653,0.252989002409983,-0.130555572121767,-0.175937394804156,0.087228274208262,-0.0745897724496629,0.140752453861501,0.211476402788916,0.164475301288483,0.137162289406638,0.291089587907979,-0.131097158621283,-0.0613576648643438,0.0911321598334072,0.194013621136653,0.127185378128192,0.0511592494924155,0.0248804896319991,0.0780368862796494,0.0774646996062443,-0.166621081221181,0.0698076199358983,-0.125616991788197,-0.0659598517112764,-0.151035985868021,-0.146701341235303,-0.0813304220717212,0.202961213090169,0.266027845401903,0.0498542643382934,0.182423757163978,0.152249031023282,0.109988230684899,0.274545778408297,-0.0852069165494089,0.123242623850243,0.281162267014825,-0.0342016618803738,-0.190844508473567,-0.176058039383419,-0.165876623718722,-0.152783266191731,0.171903511570689,-0.217796147644962,-0.0929358445146372,0.0926166599283588,-0.117494732133289,0.240225933148386,-0.161043583713561,0.0314417838066325,0.0729087841825529,-0.174884313217346,-0.17793402839765,-0.114319936282332,0.108205980492828,-0.121488483067778,0.128972858405823,0.142905821933083,-0.0139232099704524,0.0439471999674944,0.119300438153328,-0.0256504488419956,-0.195416713108271,-0.130094268661636,-0.179411327711831,-0.151119515672452,0.143620007083747,0.299643335781573,0.0879280330429921,0.14452373046847,-0.0950189464463225,0.176881366080329,-0.15467979783016,-0.0149147821356822,0.0528082756767125,-0.096572823521909,0.0831188688113865,-0.175471067194362,-0.112222201079064,-0.00814515983649814,-0.158852747611267,-0.23228156072371,0.0274761635467499,0.218718610728258,-0.082277623891139,-0.0635397470064761,0.263994798957019,0.120145040941868,-0.107661099604067,0.0269159157593971
"X.HIP..SN..191..1.0..0.018520.",-0.110016047219833,-0.108061783686099,0.266969496179077,0.231795972901851,-0.67114018154605,0.035146947837604,0.127916439286122,0.0983229319820489,-0.706385779103598,-0.614376261063097,-0.627884875254401,0.00606127248012792,-0.690637711484143,0.258653417852422,-0.654527459660974,0.105623998090568,0.351912050411658,0.327481562755281,-0.179960728733006,-0.0769621492781656,-0.10585092988146,0.0240685969476268,0.13523338365097,0.0956506709136385,0.163557951270868,-0.549821632063157,-0.101415290146634,-0.0922613947789767,-0.699208484581604,-0.402882182666936,0.174315533952006,0.0466762637767623,-0.409627982073879,0.280314594142601,0.342322308139594,-0.328555901468251,-0.3353187964289,-0.149814265077424,0.211592420359167,-0.565705532899351,-0.0602202761953975,0.0518354392744043,0.119544452902181,-0.0158265900857973,-0.672583402991677,-0.0726739329822285,-0.205389010589508,0.236026396491802,-0.35591603087459,0.313052354078765,0.220237116154813,-0.286211228049111,0.138775862278652,-0.258161355476867,-0.614978706451219,-0.37063658428293,0.0211037293647043,-0.674744792598913,0.212970788135727,0.156114874833071,-0.695737765328391,-0.735588737272741,0.0698102956424794,-0.311800077604455,0.062175435091673,-0.0889317735754749,-0.392969172044194,0.355685898450651,-0.396852822935478,0.263773869515102,-0.111324482199716,0.0900317730398775,0.0602864489894779,0.0215538405972833,-0.455312066239394,-0.514632479460297,-0.111036295009858,-0.382967421444926,-0.475938751751371,2.83444041908748e-05,-0.610681632197828,0.252706687656822,-0.138271649449746,-0.595385518718559,-0.0119835874079423,0.338894529064405,0.20259177460354,0.346547862537947,0.00683523798714351,-0.56648678554541,0.235983315519555,0.0873671286024294,-0.359203719240816,0.275655236973413,-0.242020874649218,0.1399835096351,-0.0655485672976867,-0.23979061200124,0.374810827479994,0.195027694372937,0.33018767057306,-0.0622429200002119,-0.0147964686381211,-0.53480836528367,-0.0116588993606476,-0.253721346210316,-0.413356889187374,-0.038363588613351,-0.192979241154604,0.178116206357931,0.0160380834901598,0.245109448079846,0.248218953074007,-0.0448437786688958,-0.675133293035407,0.0918974010202593,-0.706542108859042,0.105976846662854,-0.762812582463752,0.214941570215839,0.0549669302619721,0.217585361681956,0.0243966518035095,-0.539251265639867,0.205937911772018,0.250842741603731,0.210604072360841,0.135757091832372,0.342882444568696,-0.436520207966776,-0.129020207685917,0.339424986986191,-0.152787552791709,-0.647493970374773,-0.0430418979249983,0.30111759742469,-0.52754853149152
"X.HIP..CN..194..1.0..0.0.",-0.135882898130321,0.11157935709168,0.0541717310687036,-0.15112006169371,-0.119588870933936,-0.153323585549265,-0.119612853831518,-0.0411655876965771,-0.178971097608268,-0.268713245530104,-0.110111647929338,0.0622748668358905,-0.174257581401803,-0.0453405034855274,-0.138716079324965,-0.015992871700601,0.0738360005218967,0.049038694014667,0.0329679744624512,0.0773756312023,-0.197328451609984,-0.271139244118098,0.110045818952983,-0.267388711919327,0.266362069270511,-0.164049520429738,-0.146828653358143,-0.132206829589878,-0.125507601536938,-0.321102771467537,0.147694016391612,-0.116112584230861,-0.075596558289132,-0.0235811056833038,0.0461545875591763,-0.102709228094676,-0.0638383953823139,0.0108762724996049,-0.0234513484090021,-0.12950879763322,-0.201048864799346,-0.233222482778922,-0.132100965332927,-0.0957677986436469,-0.206372695335655,-0.107946987465525,-0.202199421962373,0.179941506294829,0.00108395532513941,0.106604248672655,0.127063271425842,-0.165775749417188,0.256358782664374,0.0190375256976774,-0.193438483353537,-0.264317380798465,-0.0204193196377848,-0.183562514378312,-0.115118629074128,0.211005892632547,-0.110404412196648,-0.17692367936292,-0.169530602929323,-0.0630814948095099,0.122108020429082,0.0412716955918201,-0.106211931140061,0.00645410542894334,-0.0494074535770954,-0.0437830784269346,-0.168108260002958,-0.0864038283776148,-0.0852361530515315,-0.176134382975161,0.0161821525443323,-0.146471777220353,0.0424986077579054,-0.215182966424633,-0.0180023030369735,-0.209068544359736,-0.168166383162698,0.227186430495252,-0.192917474891916,-0.24649368638367,-0.148235961502277,0.00665123284493865,-0.0694657781663871,-0.0296428857164389,-0.139986857487028,-0.243751310822491,-0.00850601870385894,-0.120198847131698,-0.109781593454862,0.133780553111721,-0.109881302556517,-0.147074502014667,-0.187858767498243,-0.165012273694307,0.012202608059707,-0.0708093312257926,0.0269092775530529,0.108562132185329,-0.203399253361664,-0.126381335097537,-0.27737344193195,-0.167424024748562,-0.177881063413589,-0.0919909258937971,-0.0862059623282436,0.0140289352053422,-0.103591301210891,-0.0321004138354523,0.0264604343258776,0.0691736213001186,-0.233099703604074,0.0874396035303232,-0.127957782806448,-0.108702787496951,-0.13190465036552,-0.104509108051531,-0.184243461937819,-0.0278842789640265,-0.107222793075735,0.0277805960099114,-0.0585890123306639,-0.121143990395277,0.0395787522788213,-0.133234791633578,-0.0324779917658514,-0.114822387616266,-0.0684015043935111,0.0992684402883061,-0.105341188676547,-0.231457630218523,0.0611711826489603,0.066427064125795,-0.138924442141098
