"","MEblack","MEblue","MEbrown","MEcyan","MEgreen","MEgreenyellow","MEgrey60","MElightcyan","MElightgreen","MEmagenta","MEmidnightblue","MEpink","MEpurple","MEred","MEsalmon","MEtan","MEturquoise","MEyellow"
"X.PFC..CN..171..1.0..0.024736.",0.118234428048761,0.228914004793799,-0.00414613889585048,-0.168257684460791,-0.404987088442317,-0.352469647056977,0.136542732473946,0.112972712812032,0.122689139483565,-0.608506108939718,0.00125388368370442,0.032664154313004,-0.140269939139586,-0.264867493416613,-0.316391068715829,0.166347430908575,0.234623229523824,-0.187744518736385
"X.PFC..CN..175..1.0..0.177900.",-0.471919563651083,0.509256413957176,-0.247054551031803,-0.564255716846383,-0.429402866656504,-0.736939108202073,0.26955702698727,0.484829559032971,0.170203980994433,-0.564165215463559,-0.426746916282154,-0.262151148471683,-0.657558815375593,-0.374305037840051,-0.558351598252753,-0.382641675054537,0.607100640119676,0.184876579275573
"X.PFC..SN..182..1.0..0.000818.",-0.168894832946553,0.126421070556422,-0.0715950171519218,-0.167944669333997,0.133673925220141,-0.101070514574098,-0.180698700818176,0.165087659479416,-0.0179146389049177,0.20542439999331,-0.154398178885018,0.132554503125037,0.0347802854901171,0.0506760699341236,0.0761880520354953,-0.122566465970018,0.197961041266494,0.308341720015584
"X.PFC..CN..183..1.0..0.030263.",-0.25041451634668,0.278243109714856,-0.278674737275232,-0.267079236057565,0.0469110155626619,-0.203393403447119,-0.192205212363961,0.133921630167045,0.0560056977034561,-0.0674462654202189,-0.281835155513589,-0.167766729192189,-0.0189941111820734,-0.194331969865525,0.00279994556422209,-0.174146923254237,0.37350757056567,0.337036657991188
"X.PFC..SN..185..1.0..0.000285.",-0.217921385599542,-0.027232298587482,-0.241921200069725,0.083412480429469,0.0742928019568884,0.0841094783248603,-0.0502091103756237,0.089919875385804,-0.588195602144007,0.339841555885008,-0.152315858540185,0.288524384606221,-0.0855140937429621,-0.0842594843024013,0.0131094353398162,0.0217883574836982,-0.28486533945229,-0.170121728962378
"X.test_PFC..SN..191..1.0..0.018520.",0.162869369785037,-0.392219559927515,0.31374182849641,0.157626351976083,0.418594758943849,0.277046310095977,-0.0123529940374619,-0.265631780343116,0.338800530851591,0.190872881958013,0.392159602507614,-0.0517187000886724,0.280424280584449,0.451298584800077,0.427574571259464,-0.0334229034788276,-0.194679178260262,-0.0938737187834247
"X.PFC..SN..193..1.0..0.002738.",0.0378167378511848,-0.429616161653187,0.221691677273889,0.208454335328665,0.239332219300888,0.229866927179618,0.108741876930892,-0.074798653488288,-0.0389652184640796,0.220800693016642,0.272810679879452,0.10014142231011,0.0583886510404074,0.368874859961706,0.243663101908852,-0.0201795847843612,-0.265893883497352,-0.296163432768291
"X.PFC..CN..194..1.0..0.0.",-0.0842626357685277,-0.225633336056506,0.252503372342346,-0.38423355131476,0.355122439169845,0.0311155975970231,-0.0947259639241517,-0.0429380449838801,0.37353680486504,0.0801955881886459,-0.213195618107314,-0.757855532098567,0.206214723627146,0.223735952580516,0.0480098133085609,-0.480199797803919,0.169927511304315,0.0112287199573559
"X.PFC..CN..195..1.0..0.103895.",0.0713724397544917,-0.245470697799121,0.258130063012775,0.101621106163419,0.243002876314534,0.187390822231857,0.180558293259403,-0.0197592684119208,0.282950382712779,0.0562145967262454,0.276958521623901,-0.132575704143174,0.0948167756107352,0.33105056626963,0.201203564070673,-0.135703140075753,-0.0795972194749228,-0.144992085317656
"X.PFC..SN..201..1.0..0.002198.",0.22601666162555,-0.181177747410816,0.179134977636415,0.0819691094861452,-0.0957172191835749,0.0891316304613352,-0.101773031133016,-0.210055091628952,-0.306286271296069,0.0109846077251364,0.140808747084511,0.080698250935778,0.0551093762784657,0.0609507375855574,-0.0806649161968954,0.208537854851635,-0.153656997336894,-0.31755435536544
"X.PFC..CN..203..1.0..0.108372.",-0.0398758328149395,0.0434832816115449,0.176181725795572,-0.116336102431544,-0.198527122148418,-0.0481551795700104,0.101563194206846,0.0889337581048557,0.196611997922535,-0.0593705756344825,-0.214131582273476,-0.0247744701028178,-0.109517516494079,0.0441218674963093,-0.335266027934684,-0.141220821287897,-0.0102625622117598,0.384375998188744
"X.PFC..SN..204..1.0..0.005963.",0.589466169637632,-0.134541532154087,0.293753038709404,0.338542765871597,0.202451291242698,0.242691239715835,-0.788343477745946,-0.729934965976084,-0.0169432053360466,-0.103217940278846,0.504978978109856,0.178451003583205,0.545288348559311,0.121418393931173,0.399132350197045,0.589800427280448,-0.165074230479753,-0.375100835094097
"X.test_PFC..SN..205..1.0..0.002711.",0.225264563331591,0.0251270236558895,-0.0205311708752217,0.339537710872855,-0.163022634304596,0.176853031241108,0.23093828247564,0.048029696193638,-0.321860455023092,0.105191226989023,0.044866986772756,0.245551852521961,-0.00691126123799848,-0.0835346282013008,-0.0745986533256457,0.262674004779221,-0.270706423326237,-0.187752777353422
"X.PFC..CN..214..1.0..0.006375.",0.139869058294439,0.234743492395882,-0.305231769577908,0.120615504597585,-0.251375058818081,0.0508443438727443,0.123591031301206,0.0415341578473499,-0.0872750106056679,0.0244909884522595,-0.101292201956185,0.0274466249831682,0.0454283697025909,-0.368692228751857,-0.10168269764798,0.221064874458354,0.0548515010910092,0.252457923309967
"X.PFC..CN..223..1.0..0.137218.",-0.337620661201362,0.189702936903145,-0.525982098389148,0.236327595719218,-0.170349338158015,0.0729784721299198,0.268816052763133,0.177888755809131,-0.163358132759519,0.16868956680254,-0.089921888103873,0.310810087718617,-0.301685073720932,-0.282136190181343,0.0552741283896609,0.0198683619476184,-0.213235659831518,0.294985853642682
