"","MEbisque4","MEblack","MEblue","MEbrown","MEbrown4","MEcyan","MEdarkgreen","MEdarkgrey","MEdarkmagenta","MEdarkolivegreen","MEdarkorange","MEdarkorange2","MEdarkred","MEdarkturquoise","MEfloralwhite","MEgreen","MEgreenyellow","MEgrey60","MEivory","MElightcyan","MElightcyan1","MElightgreen","MElightsteelblue1","MElightyellow","MEmagenta","MEmediumpurple3","MEmidnightblue","MEorange","MEorangered4","MEpaleturquoise","MEpink","MEplum1","MEpurple","MEred","MEroyalblue","MEsaddlebrown","MEsalmon","MEsienna3","MEskyblue","MEskyblue3","MEsteelblue","MEtan","MEturquoise","MEviolet","MEwhite","MEyellow","MEyellowgreen"
"X.VTA..CN..171..1.0..0.024736.",-0.0243238472389722,-0.142268779052555,-0.0244021038712023,-0.105946384157979,0.156214017253364,-0.360801139318385,0.014885448577655,0.0784342510732873,-0.0667959888121331,0.288070100849802,0.391865267822565,0.0777629641101717,0.0423196370670331,0.102686932505957,-0.201100509359368,-0.150550850104887,0.0756394000488048,0.150725075684322,0.404168489473989,-0.252776659753292,0.276831873630608,0.126619944975339,-0.0118454559121525,-0.138412333676571,-0.240948032299254,-0.22605966839518,-0.350579395171007,0.211119585589915,0.0872933446544771,-0.521803271272539,0.41090257032388,-0.381775616302464,-0.529891610714396,0.0165703959927489,-0.0176918005191083,0.131141080241776,0.105244824931359,0.253015752795398,-0.0118969785400117,-0.0240440169766071,0.045360869073919,-0.16683888852686,0.219701655588253,0.0529747680788554,-0.0301987175961807,-0.0159509906357623,0.193303615520966
"X.test_VTA..CN..175..1.0..0.177900.",0.40728069402671,0.553456212925482,0.851043196251439,0.160256092599083,-0.377241821146732,-0.0837547065360137,0.21240923809637,0.0293344746042229,-0.301089234134216,0.161334289745657,0.283602469637303,-0.0136288370948762,0.014019445938053,-0.0150541853499905,0.113116391465846,0.0165285968480341,-0.21837633300506,-0.0077668812516416,-0.150731327461267,-0.195577564804528,0.209724590088572,0.223525404143393,0.15105550165892,0.155142518442672,-0.188339643214842,0.0517105568164736,-0.406290046562723,0.234941332004202,-0.397079780498197,-0.0236813081374387,0.190618734795411,-0.449760040081542,-0.379704547167709,6.00282880194314e-05,0.0531131495356529,-0.124816166118967,-0.0458062172891416,0.221345171824872,0.139631994944007,0.238327816401118,-0.342768760641957,-0.501740006979289,0.128872909940724,-0.0739529847973913,0.15739257567368,0.064022251823644,0.191812340157209
"X.test_VTA..SN..182..1.0..0.000818.",-0.284558079032178,-0.0879546517072998,-0.208187617960841,-0.221477490692119,0.122275803802607,-0.347266522435106,0.2194683264628,-0.570372098269272,-0.0897088350617992,0.367025750505419,-0.148431996183228,-0.508732630569781,-0.514822188076022,0.636615184036511,-0.213823461908133,-0.0894327714310906,0.425851540806432,0.07485797656138,0.281337864386533,0.298151200631394,0.0285505897794783,0.0873396337063156,0.0891555763397382,-0.0989765075684275,-0.0475685862654255,0.158484791478159,0.51447289496678,-0.489161439931367,-0.0819909517219941,0.0876401808224666,-0.152231356725019,0.0763074050695175,0.0639424808817563,0.523380677009559,0.337584217487768,-0.0220629075157419,-0.246049687873844,0.0542088961957019,-0.752618943558429,-0.197319552518911,0.284949597164122,0.540423730071611,0.15512507026123,0.114057117422019,-0.138314403747572,0.105075504098204,-0.550163129984127
"X.VTA..SN..191..1.0..0.018520.",-0.634072244934024,-0.0667141970709279,-0.165577980103181,0.202473198998813,-0.34323654338992,0.0268495678095552,-0.00471792242978433,-0.2747850728726,-0.679829458268727,0.465084530991397,0.275062196504994,0.0483066015316282,-0.589427544893552,-0.338699917964412,0.686942685765515,0.817747855725157,0.280523621208748,-0.696652495906214,-0.481193734121953,-0.387644238597194,-0.330996146817892,0.543466529868521,-0.833079241241234,0.495132010919292,0.439689139541843,-0.238711182134729,0.0369838689159808,-0.00900896215161744,-0.418331435590523,0.344919845101527,0.198851391034796,0.495213164099084,0.0759312547687293,0.265990822773679,0.298192449367769,-0.476056282265664,-0.230880398208791,-0.236847419210066,0.00826156841062084,-0.419317191331123,-0.57597329491182,-0.325620133030201,0.605356017048378,-0.816238983312593,0.655731419375779,0.84181834071797,0.535035209045309
"X.VTA..SN..193..1.0..0.002738.",0.158175479293235,-0.00526776149476367,0.0935989511421643,0.00614173190821866,-0.00101208010732875,0.189613290927583,-0.0103518020414947,-0.344299545504623,-0.182313549177552,0.174291064254465,0.170815069778276,-0.219365707645971,-0.101211368003491,0.0870643559144954,-0.220603665401491,0.137791746018692,0.22729638080838,-0.344536056373469,-0.226278803622832,0.110982574152013,-0.169425029237095,-0.0703049367588252,-0.0369609067752867,-0.0295886067922303,0.241305263845553,0.00401871712738873,0.0695869096987408,-0.275456921618075,-0.128558590384263,0.356404752070289,-0.115356543066659,0.251507646087836,0.0539386988241434,0.338270497332168,0.109096764640951,0.000541625592900358,0.190641971821058,0.205066394203519,0.0161866460983175,-0.236572137917609,-0.341295578786744,-0.118283546282791,0.0546415218149142,-0.30405829434665,-0.152486058951893,0.102829748478413,-0.0554243374391238
"X.test_VTA..CN..195..1.0..0.103895.",0.197454461861938,-0.131206523530035,-0.0832869953235468,-0.0873451220276198,0.460502068460053,0.240197994402584,-0.58493126897943,0.0506516320771711,0.381071917397917,-0.299720774034255,0.0092160410967002,0.152204997131545,0.349247676146775,0.033681417119664,-0.266202970659975,-0.331920401095244,-0.00865250727128886,-0.0182124682356431,0.268033317452233,0.294043545481104,0.228753121760291,-0.406401096432235,0.145473205690781,-0.289125938874678,0.0288735131728649,-0.134817621109696,0.468608290152631,-0.165802011015462,0.3672021005057,-0.0539473638577494,-0.00186264123743716,0.145215081643586,0.193858566039379,-0.0196863276011608,-0.144051571332799,0.301223047806332,0.454225980701199,0.283625145286943,0.328073294642903,0.206475452212413,0.316866420317564,0.0351589110482047,-0.50188186460031,0.163779557496891,-0.539516591316986,-0.389867687110159,0.0501964146256098
"X.VTA..SN..201..1.0..0.002198.",0.134909208422571,-0.0859725065934985,-0.211691992642231,-0.263047777797715,0.0709152430622208,0.367812753831772,-0.280762481326375,-0.106485314122062,0.218501395973435,0.111534510085722,-0.17851016334381,0.0123289922998165,0.0393533093274047,0.0224309994893313,-0.123462334249573,0.134690537776494,-0.0632076318220123,-0.118011726682211,-0.126028258511857,0.257551011361274,-0.00950826951208577,-0.257604296432984,-0.138759721122925,0.0292176849801429,0.396610142923799,-0.163583490617683,0.344080976933661,-0.482935022483021,0.208783585050692,0.0359830902251563,-0.374558101914353,0.074033401079596,0.124841664051637,-0.00157652428157337,-0.277092817858895,-0.0180487286555739,0.198118214449435,-0.102083683680663,-0.0928283310800167,-0.458992890125999,0.108949567334101,-0.0709153105151038,-0.293713321023107,0.142850603642822,-0.128970551851189,-0.11176726425846,-0.34630890358842
"X.VTA..CN..203..1.0..0.108372.",0.35199104243868,0.479184000412548,0.128520177837016,0.449671124247883,0.0494589658992632,-0.0700786285468539,-0.140030398814122,0.142574129026676,0.238583935250785,-0.0850740339391011,0.210560072408321,0.148759019245542,0.311547173140589,-0.157626926325012,-0.0441581109138826,0.00272329493271787,-0.429381568173424,-0.0770768294175859,-0.0781930564145167,0.0836547160786069,-0.0561125485027131,-0.330821451547635,0.0546001691113815,0.168355677572825,0.160343584790573,-0.11466445968105,-0.136984974961404,-0.0140435330844444,0.206278893979167,-0.0338385387439087,-0.0645437152919421,-0.0876964638898445,0.372669154890364,0.0201753500883436,-0.190152347934284,0.271524746167361,0.300062709596252,0.278595690955998,0.302664831476654,0.212385517389805,-0.010030905860882,-0.142773498022656,-0.271140570559996,-0.0260857677441988,-0.147816460292326,-0.145201188595573,0.180816123033475
"X.VTA..SN..204..1.0..0.005963.",-0.0993136739633193,-0.445284431008292,-0.224675774333801,-0.390558105393684,-0.455100733691827,0.462078072524213,0.528562176406463,0.0500515315056028,0.0144216027841712,-0.296270168454518,-0.522274927185439,-0.522724787036288,0.27286300574849,0.375777615945411,0.40670303885384,-0.258006740869309,-0.271460746036155,0.321087589857087,-0.427489112380377,0.474881570757288,-0.738929060661508,0.282544077787527,0.175936465455264,0.0683967795560829,-0.224554500116114,0.806153482422127,-0.0448967653826542,0.168714333093032,-0.489473933085419,0.478852681475981,-0.667213195838197,-0.309945617578122,0.307593901800533,0.102294221436964,0.466498467665792,0.0881212016900363,-0.511151196437635,-0.283032013891961,-0.217441192585552,0.249405179694116,-0.149095164408719,0.309292720170133,-0.10229710276789,0.231440492222621,0.0270714844443813,-0.193950465809752,-0.403991030734602
"X.VTA..SN..205..1.0..0.002711.",-0.345110560689935,-0.389280911235698,-0.211251460940974,-0.350008923475539,-0.216330739372211,0.193588432640754,0.280974851599806,0.550286249371689,0.148809023824925,-0.17037004668065,-0.532697529301491,0.423476089739649,-0.115681791419794,-0.0268376486742697,0.185091463534051,-0.0383519566563137,-0.0695189539840314,0.407963059978265,0.381771523440144,-0.0637774750488399,0.0899045080075158,-0.00364792397125271,-0.00408499567556368,0.175364359472855,-0.148794259839108,0.0257689377807408,-0.144984009443327,0.451880449365353,0.22368319532169,-0.465687611806531,0.103785372679276,0.158105614961702,-0.0161086868484589,-0.500110730370582,-0.229347883920443,-0.619109563609136,-0.371545108038659,-0.731870309803931,-0.196411742334824,-0.0810874888243936,0.43490366678387,0.392616542747562,0.174528941727051,0.313285655021345,0.370063795924111,-0.0569682949856227,0.0809144973362919
"X.test_VTA..CN..214..1.0..0.006375.",0.123451040649764,0.107882785959205,-0.0958868496722398,0.0362604000140685,0.0609525234410034,-0.128088055931931,-0.317412646651093,0.364940761094462,0.35732024765964,-0.241707663650386,-0.0319770207943109,0.430845789410645,0.256145613820898,-0.490425755348271,-0.0184935955982529,0.0465924178095286,-0.402495705826115,0.0302358172133763,-0.0168811641352856,-0.129302349670289,0.136563878816044,-0.402571523323081,-0.0364711674578356,0.184651997078243,0.185050414034773,-0.349963141163524,-0.181867467447626,0.0774937681357911,0.346623431613014,-0.124675304318483,0.175864659980893,-0.287190580884674,0.212650891431007,-0.345655773225577,-0.587582585608206,0.0401737241091419,0.289942842796835,0.0288277786087762,0.294819790967673,-0.0398199504621111,0.139164577710772,-0.0995563660485242,-0.277870019316096,0.0996497884169538,0.0901045000648417,-0.197312058554296,0.0870388560854559
"X.VTA..CN..223..1.0..0.137218.",0.0141164791655326,0.213426762395835,0.151798449617397,0.563581255776591,0.472603295789509,-0.490151059368171,0.081906479099203,0.0296690020154454,-0.0389710574364424,-0.474197559673552,0.0727705195601249,-0.0292324911220831,0.0356470312036174,-0.229612071349413,-0.30400893152858,-0.287811728953781,0.453782503245721,0.277386938572335,0.171484261895186,-0.490186330587537,0.334642492648784,0.207855637984918,0.444980569928912,-0.720157641110209,-0.601667036574662,0.181663077476973,-0.168130281699055,0.292258422095694,0.0755701401556566,-0.0801671515587715,0.295742825259351,0.315986005795324,-0.479721767956987,-0.399712637442591,0.181433958475803,0.427368222557537,-0.132803936448068,0.0291485967154145,0.181559061558659,0.550559262459303,0.0889690062257746,0.148235845367915,0.108676761886848,0.102298047899323,-0.163060991726649,-0.00272789516860825,0.0367703459419575
